0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Pos. Driver AUS MAL BRA SMR ESP AUT MON CAN EUR GBR FRA GER HUN BEL ITA USA JPN Points 1  Michael Schumacher 1 3P 1 1P 1PF 1F 2 1 2F 1 1 1PF 2F 1PF 2 2P 1PF 144 2  Rubens Barrichello RetP Ret Ret 2F Ret 2P 7F 3 1 2F DNS 4 1P 2 1F 1F 2 77 3  Juan Pablo Montoya 2 2F 5PF 4 2 3 RetP RetPF RetP 3P 4P 2 11 3 RetP 4 4 50 4  Ralf Schumacher Ret 1 2 3 11† 4 3 7 4 8 5 3 3 5 Ret 16 11† 42 5  David Coulthard Ret Ret 3 6 3 6 1 2 Ret 10 3F 5 5 4 7 3 Ret 41 6  Kimi Räikkönen 3F Ret 12† Ret Ret Ret Ret 4 3 Ret 2 Ret 4 Ret Ret Ret 3 24 7  Jenson Button Ret 4 4 5 12† 7 Ret 15† 5 12† 6 Ret Ret Ret 5 8 6 14 8  Jarno Trulli Ret Ret Ret 9 10† Ret 4 6 8 Ret Ret Ret 8 Ret 4 5 Ret 9 9  Eddie Irvine 4 Ret 7 Ret Ret Ret 9 Ret Ret Ret Ret Ret Ret 6 3 10 9 8 10  Nick Heidfeld Ret 5 Ret 10 4 Ret 8 12 7 6 7 6 9 10 10 9 7 7 11  Giancarlo Fisichella Ret 13 Ret Ret Ret 5 5 5 Ret 7 DNQ Ret 6 Ret 8 7 Ret 7 12  Jacques Villeneuve Ret 8 10† 7 7 10† Ret Ret 12 4 Ret Ret Ret 8 9 6 Ret 4 13  Felipe Massa Ret 6 Ret 8 5 Ret Ret 9 6 9 Ret 7 7 Ret Ret Ret 4 14  Olivier Panis Ret Ret Ret Ret Ret Ret Ret 8 9 5 Ret Ret 12 12† 6 12 Ret 3 15  Takuma Sato Ret 9 9 Ret Ret Ret Ret 10 16 Ret Ret 8 10 11 12 11 5 2 16  Mark Webber 5 Ret 11 11 WD 12 11 11 15 Ret 8 Ret 16 Ret Ret Ret 10 2 17  Mika Salo 6 12 6 Ret 9 8 Ret Ret Ret Ret Ret 9 15 7 11 14 8 2 18  Heinz-Harald Frentzen DSQ 11 Ret Ret 6 11 6 13 13 Ret DNQ Ret 13 2 19  Allan McNish Ret 7 Ret Ret 8 9 Ret Ret 14 Ret 11† Ret 14 9 Ret 15 DNS 0 20  Alex Yoong 7 Ret 13 DNQ WD Ret Ret 14 Ret DNQ 10 DNQ 13 Ret Ret 0 21  Pedro de la Rosa 8 10 8 Ret Ret Ret 10 Ret 11 11 9 Ret 13 Ret Ret Ret Ret 0 22  Enrique Bernoldi DSQ Ret Ret Ret Ret Ret 12 Ret 10 Ret DNQ Ret 0  Anthony Davidson Ret Ret 0 Pos. Driver AUS MAL BRA SMR ESP AUT MON CAN EUR GBR FRA GER HUN BEL ITA USA JPN Points Sources:[42][1],"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (empty cell) Annotation Meaning P Pole position F Fastest lap",,,,,,,,,,,,,,,,,,
Pos.,Driver,AUS,MAL,BRA,SMR,ESP,AUT,MON,CAN,EUR,GBR,FRA,GER,HUN,BEL,ITA,USA,JPN,Points
1,Michael Schumacher,1,3P,1,1P,1PF,1F,2,1,2F,1,1,1PF,2F,1PF,2,2P,1PF,144
2,Rubens Barrichello,RetP,Ret,Ret,2F,Ret,2P,7F,3,1,2F,DNS,4,1P,2,1F,1F,2,77
3,Juan Pablo Montoya,2,2F,5PF,4,2,3,RetP,RetPF,RetP,3P,4P,2,11,3,RetP,4,4,50
4,Ralf Schumacher,Ret,1,2,3,11†,4,3,7,4,8,5,3,3,5,Ret,16,11†,42
5,David Coulthard,Ret,Ret,3,6,3,6,1,2,Ret,10,3F,5,5,4,7,3,Ret,41
6,Kimi Räikkönen,3F,Ret,12†,Ret,Ret,Ret,Ret,4,3,Ret,2,Ret,4,Ret,Ret,Ret,3,24
7,Jenson Button,Ret,4,4,5,12†,7,Ret,15†,5,12†,6,Ret,Ret,Ret,5,8,6,14
8,Jarno Trulli,Ret,Ret,Ret,9,10†,Ret,4,6,8,Ret,Ret,Ret,8,Ret,4,5,Ret,9
