0,1,2,3,4,5,6,7,8,9,10
Pos. Driver ARG MON 500 FRA GBR GER PES ITA Pts. 1  Juan Manuel Fangio 1 1PF 1P Ret 1PF 2P (2) 40 (46) 2  Stirling Moss 8PF Ret 1† / Ret†PF 5 1F 1 25 3  Luigi Musso Ret 2F 2 4 Ret 8 16 4  Mike Hawthorn Ret Ret† / Ret 4 3 2 6 13 5  Tony Brooks 2 1† / Ret† 9 Ret 7F 11 6  Masten Gregory 3 8 4 4 10 7  Harry Schell 4 Ret† / Ret 5 Ret 7 3 5† / Ret 10 8  Sam Hanks 1 8 9  Peter Collins 6† / Ret Ret 3 Ret / 4†‡ 3 Ret 8 10  Jim Rathmann 2F 7 11  Jean Behra 2 6 Ret 6 Ret Ret 6 12  Stuart Lewis-Evans 4 Ret 7 Ret 5 RetP 5 13  Maurice Trintignant 5 Ret 4† 5 14  Wolfgang von Trips 6† Ret† 3 4 15  Carlos Menditeguy 3 Ret Ret Ret 4 16  Jimmy Bryan 3 4 17  Paul Russo 4 3 18  Roy Salvadori DNQ Ret 5 Ret1 Ret 2 19  Andy Linden 5 2 20  Giorgio Scarlatti Ret† 10 6 5† 1 21  Alfonso de Portago 5† 1 22  José Froilán González 5† 1 —  Jack Brabham 6 7† / Ret Ret Ret1 7 0 —  Johnny Boyd 6 0 —  Bob Gerard 6 0 —  Cesare Perdisa 6† 0 —  Jo Bonnier 7 Ret Ret Ret 0 —  Marshall Teague 7 0 —  Mike MacDowel 7† 0 —  Ivor Bueb Ret 8 0 —  Pat O'Connor 8P 0 —  Paco Godia Ret Ret 9 0 —  Alejandro de Tomaso 9 0 —  Bob Veith 9 0 —  Luigi Piotti 10 DNQ Ret Ret 0 —  Horace Gould Ret Ret DNS Ret Ret 10 0 —  Gene Hartley 10 0 —  Bruce Halford 11 Ret Ret 0 —  Jack Turner 11 0 —  Ottorino Volonterio 11† 0 —  André Simon DNQ 11† 0 —  Johnny Thomson 12 0 —  Bob Christie 13 0 —  Chuck Weyant 14 0 —  Tony Bettenhausen 15 0 —  Johnnie Parsons 16 0 —  Don Freeland 17 0 —  Ron Flockhart Ret Ret 0 —  Hans Herrmann DNQ Ret 0 —  Les Leston DNQ Ret 0 —  Eugenio Castellotti Ret 0 —  Jimmy Reece Ret 0 —  Don Edmunds Ret 0 —  Johnnie Tolan Ret 0 —  Al Herman Ret 0 —  Fred Agabashian Ret 0 —  Eddie Sachs Ret 0 —  Mike Magill Ret 0 —  Eddie Johnson Ret 0 —  Bill Cheesbourg Ret 0 —  Al Keller Ret 0 —  Jimmy Daywalt Ret 0 —  Ed Elisian Ret 0 —  Rodger Ward Ret 0 —  Troy Ruttman Ret 0 —  Eddie Russo Ret 0 —  Elmer George Ret 0 —  Herbert MacKay-Fraser Ret 0 —  Jack Fairman Ret 0 Drivers ineligible for Formula One points because they drove with Formula Two cars —  Edgar Barth 12 —  Brian Naylor 13 —  Carel Godin de Beaufort 14 —  Tony Marsh 15 —  Umberto Maglioli Ret —  Paul England Ret —  Dick Gibson Ret Pos. Driver ARG MON 500 FRA GBR GER PES ITA Pts.,"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (empty cell) Annotation Meaning P Pole position F Fastest lap",,,,,,,,,
Pos.,Driver,ARG,MON,500,FRA,GBR,GER,PES,ITA,Pts.
1,Juan Manuel Fangio,1,1PF,,1P,Ret,1PF,2P,(2),40 (46)
2,Stirling Moss,8PF,Ret,,,1† / Ret†PF,5,1F,1,25
3,Luigi Musso,Ret,,,2F,2,4,Ret,8,16
4,Mike Hawthorn,Ret,Ret† / Ret,,4,3,2,,6,13
5,Tony Brooks,,2,,,1† / Ret†,9,Ret,7F,11
6,Masten Gregory,,3,,,,8,4,4,10
7,Harry Schell,4,Ret† / Ret,,5,Ret,7,3,5† / Ret,10
8,Sam Hanks,,,1,,,,,,8
9,Peter Collins,6† / Ret,Ret,,3,Ret / 4†‡,3,,Ret,8
10,Jim Rathmann,,,2F,,,,,,7
11,Jean Behra,2,,,6,Ret,6,Ret,Ret,6
